root@nmszhwit2h:/notebooks# echo "[Terminal 1]"
[Terminal 1]
root@nmszhwit2h:/notebooks# nvidia-smi dmon
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    0    272     82      -    99     49      0      0   7600   1650 
    0    261     78      -    99     59      0      0   7600   1860 
    0    249     81      -    45     23      0      0   7600   1635 
    0    269     82      -    99     50      0      0   7600   1665 
    0    265     78      -   100     57      0      0   7600   1860 
    0    245     82      -    19     12      0      0   7600   1590 
    0    270     82      -   100     47      0      0   7600   1605 
    0    256     78      -    50     49      0      0   7600   1860 
    0    247     82      -    95     49      0      0   7600   1590 
    0    272     82      -   100     54      0      0   7600   1650 
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    0    258     79      -    73     64      0      0   7600   1860 
    0    246     81      -    85     42      0      0   7600   1635 
    0    269     82      -   100     50      0      0   7600   1605 
    0    264     79      -    97     75      0      0   7600   1860 
    0    237     82      -    42     17      0      0   7600   1560 
    0    248     80      -     0      0      0      0   7600   1650 
    0    267     82      -    99     51      0      0   7600   1665 
    0    260     82      -    99     47      0      0   7600   1710 
    0    252     80      -    88     70      0      0   7600   1650 
    0    258     82      -    85     43      0      0   7600   1620 
    0    273     81      -   100     54      0      0   7600   1740 
    0    248     82      -    75     63      0      0   7600   1575 
    0    258     82      -    83     41      0      0   7600   1605 
    0    265     82      -    99     46      0      0   7600   1665 
    0    233     79      -    34     39      0      0   7600   1860 
    0    256     81      -   100     48      0      0   7600   1725 
    0    260     82      -   100     52      0      0   7600   1650 
    0    256     78      -    61     55      0      0   7600   1860 
    0    243     81      -    76     36      0      0   7600   1590 
    0    264     82      -   100     48      0      0   7600   1635 
    0    271     80      -   100     74      0      0   7600   1860 
    0    239     82      -    37     15      0      0   7600   1530 
    0    265     82      -   100     51      0      0   7600   1605 
    0    268     81      -   100     55      0      0   7600   1860 
    0    239     81      -    34     29      0      0   7600   1680 
    0    272     82      -   100     47      0      0   7600   1590 
    0    268     81      -   100     51      0      0   7600   1815 
    0    246     82      -    51     46      0      0   7600   1590 
    0    271     82      -   100     47      0      0   7600   1605 
    0    270     80      -   100     54      0      0   7600   1860 
    0    244     82      -    35     32      0      0   7600   1575 
    0    268     82      -   100     39      0      0   7600   1680 
    0    266     81      -   100     55      0      0   7600   1845 
    0    238     81      -    76     66      0      0   7600   1695 
    0    251     82      -    66     32      0      0   7600   1665 
    0    275     81      -   100     50      0      0   7600   1830 
    0    231     80      -    25     16      0      0   7600   1800 
    0    253     81      -   100     49      0      0   7600   1725 
    0    268     82      -   100     52      0      0   7600   1605 
    0    252     78      -    66     59      0      0   7600   1860 
    0    250     81      -    93     48      0      0   7600   1710 
    0    265     81      -   100     47      0      0   7600   1665 
    0    265     78      -    93     73      0      0   7600   1860 
    0    249     81      -    59     28      0      0   7600   1605 
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    0    266     82      -   100     46      0      0   7600   1620 
    0    257     80      -   100     57      0      0   7600   1860 
    0    245     81      -    30     21      0      0   7600   1575 
    0    265     81      -    99     48      0      0   7600   1680 
    0    269     80      -   100     48      0      0   7600   1860 
    0    249     82      -    30     34      0      0   7600   1560 
    0    264     82      -    99     49      0      0   7600   1680 
    0    271     81      -   100     51      0      0   7600   1860 
    0    245     82      -    61     30      0      0   7600   1590 
    0    268     82      -   100     46      0      0   7600   1665 
    0    267     81      -   100     63      0      0   7600   1815 
    0    244     81      -    39     16      0      0   7600   1665 
    0    267     82      -   100     48      0      0   7600   1650 
    0    273     81      -    99     63      0      0   7600   1860 
    0    241     81      -    23     16      0      0   7600   1515 
    0    254     82      -   100     51      0      0   7600   1605 
    0    270     81      -   100     52      0      0   7600   1800 
    0    249     81      -    44     42      0      0   7600   1680 
    0    258     82      -    91     45      0      0   7600   1740 
    0    271     82      -   100     52      0      0   7600   1650 
    0    245     81      -    63     57      0      0   7600   1710 
    0    261     82      -    95     48      0      0   7600   1605 
    0    271     81      -   100     52      0      0   7600   1770 
    0    241     81      -    74     65      0      0   7600   1620 
    0    253     82      -    79     38      0      0   7600   1635 
    0    265     82      -    99     48      0      0   7600   1635 
    0    245     81      -    40     19      0      0   7600   1605 
    0    264     82      -    99     50      0      0   7600   1665 
    0    273     81      -   100     64      0      0   7600   1770 
    0    247     81      -    37     14      0      0   7600   1650 
    0    263     82      -    99     47      0      0   7600   1605 
    0    264     82      -   100     51      0      0   7600   1635 
    0    245     80      -    39     39      0      0   7600   1680 
    0    253     82      -   100     45      0      0   7600   1725 
    0    264     82      -   100     52      0      0   7600   1710 
    0    252     80      -    56     54      0      0   7600   1560 
    0    252     82      -    99     50      0      0   7600   1650 
    0    252     81      -    71     34      0      0   7600   1680 
    0    269     81      -   100     48      0      0   7600   1680 
    0    247     79      -    99     66      0      0   7600   1860 
    0    238     81      -    30     22      0      0   7600   1545 
    0    265     82      -   100     49      0      0   7600   1635 
    0    266     81      -   100     55      0      0   7600   1800 
    0    243     81      -    66     58      0      0   7600   1665 
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    0    251     82      -    70     35      0      0   7600   1740 
    0    271     81      -    99     45      0      0   7600   1710 
    0    252     79      -    99     78      0      0   7600   1860 
    0    243     81      -    41     16      0      0   7600   1725 
    0    263     81      -   100     52      0      0   7600   1695 
    0    249     78      -    47     47      0      0   7600   1860 
    0    241     81      -    81     40      0      0   7600   1575 
    0    270     82      -    99     47      0      0   7600   1650 
    0    263     79      -   100     73      0      0   7600   1860 
    0    249     82      -    61     29      0      0   7600   1590 
    0    270     82      -   100     49      0      0   7600   1680 
    0    257     79      -   100     66      0      0   7600   1860 
    0    240     82      -    29     15      0      0   7600   1545 
    0    270     81      -   100     52      0      0   7600   1680 
    0    269     80      -   100     54      0      0   7600   1860 
    0    247     81      -    28     17      0      0   7600   1545 
    0    258     82      -   100     44      0      0   7600   1590 
    0    274     81      -   100     51      0      0   7600   1830 
    0    238     80      -    77     64      0      0   7600   1665 
    0    254     82      -    78     39      0      0   7600   1620 
    0    270     82      -   100     48      0      0   7600   1680 
    0    246     81      -    86     72      0      0   7600   1695 
    0    257     82      -    91     43      0      0   7600   1605 
    0    267     81      -   100     72      0      0   7600   1830 
    0    231     79      -    13      6      0      0   7600   1860 
    0    251     81      -   100     50      0      0   7600   1725 
