root@nnqj8hxb2x:/notebooks# echo "[Terminal 1]"
[Terminal 1]
root@nnqj8hxb2x:/notebooks# nvidia-smi dmon
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    0    209     78      -    98     48      0      0   7600   1665 
    0    187     77      -    51     23      0      0   7600   1620 
    0    187     72      -     0      0      0      0   7600   1890 
    0    204     72      -     0      0      0      0   7600   1890 
    0    204     72      -    14     15      0      0   7600   1890 
    0    205     73      -    36     40      0      0   7600   1890 
    0    206     73      -    80     69      0      0   7600   1875 
    0    205     74      -   100     56      0      0   7600   1875 
    0    187     78      -   100     50      0      0   7600   1650 
    0    177     77      -    99     51      0      0   7600   1695 
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    0    188     77      -    64     31      0      0   7600   1590 
    0    198     74      -     2      0      0      0   7600   1785 
    0    204     72      -     0      0      0      0   7600   1890 
    0    119     71      -     0      0      0      0   7600   1890 
    0    110     76      -    57     27      0      0   7600   1605 
    0    203     71      -     0      0      0      0   7600   1890 
    0    114     71      -     0      0      0      0   7600   1890 
    0    162     75      -   100     53      0      0   7600   1860 
    0    212     77      -   100     52      0      0   7600   1710 
    0    200     77      -    95     45      0      0   7600   1710 
    0    200     77      -    98     48      0      0   7600   1710 
    0    169     71      -     0      0      0      0   7600   1890 
    0    190     75      -   100     51      0      0   7600   1800 
    0    207     76      -    97     50      0      0   7600   1740 
    0    245     74      -   100     53      0      0   7600   1890 
    0    189     77      -    97     48      0      0   7600   1740 
    0    126     71      -     0      0      0      0   7600   1890 
    0    109     70      -     0      0      0      0   7600   1800 
    0     96     69      -     0      0      0      0   7600   1800 
    0     91     69      -     0      0      0      0   7600   1800 
    0     86     69      -     0      0      0      0   7600   1800 
    0     86     68      -     0      0      0      0   7600   1800 
    0    153     69      -     0      0      0      0   7600   1890 
    0    200     70      -     0      0      0      0   7600   1890 
    0    200     70      -    10     11      0      0   7600   1890 
    0    204     70      -    33     37      0      0   7600   1890 
    0    204     71      -    60     55      0      0   7600   1890 
    0    198     73      -   100     50      0      0   7600   1890 
    0    154     70      -     0      0      0      0   7600   1890 
    0    122     69      -     0      0      0      0   7600   1890 
    0     94     68      -     0      0      0      0   7600   1800 
    0     90     68      -     0      0      0      0   7600   1800 
    0    156     72      -   100     54      0      0   7600   1890 
    0    181     74      -    95     46      0      0   7600   1650 
    0    186     75      -    75     37      0      0   7600   1725 
    0    199     73      -    10      0      0      0   7600   1665 
    0    201     69      -     0      0      0      0   7600   1890 
    0    114     68      -     0      0      0      0   7600   1890 
    0     93     67      -     0      0      0      0   7600   1800 
    0    118     72      -    82     39      0      0   7600   1830 
    0    175     71      -    13      0      0      0   7600   1665 
    0    203     68      -     0      0      0      0   7600   1890 
    0    215     69      -     0      0      0      0   7600   1890 
    0    205     70      -    77     67      0      0   7600   1875 
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    0    121     68      -     0      0      0      0   7600   1890 
    0     94     67      -     0      0      0      0   7600   1800 
    0     89     66      -     0      0      0      0   7600   1800 
    0     84     66      -     0      0      0      0   7600   1800 
    0     84     66      -     0      0      0      0   7600   1800 
    0     84     65      -     0      0      0      0   7600   1800 
    0     83     65      -     0      0      0      0   7600   1800 
    0    165     71      -   100     50      0      0   7600   1785 
    0    183     72      -    90     47      0      0   7600   1725 
    0    213     72      -    76     37      0      0   7600   1755 
    0    201     71      -    24      8      0      0   7600   1695 
    0    195     67      -     0      0      0      0   7600   1890 
    0    166     72      -   100     50      0      0   7600   1725 
    0    238     68      -    45     46      0      0   7600   1890 
    0    202     70      -    85     72      0      0   7600   1890 
    0    198     73      -   100     52      0      0   7600   1695 
    0    203     73      -   100     54      0      0   7600   1680 
    0    228     73      -   100     53      0      0   7600   1740 
    0    225     73      -   100     53      0      0   7600   1755 
    0    219     73      -   100     52      0      0   7600   1725 
    0    135     67      -     0      0      0      0   7600   1890 
    0    117     67      -     0      0      0      0   7600   1800 
    0    151     72      -   100     56      0      0   7600   1890 
    0    216     72      -   100     53      0      0   7600   1890 
    0    199     73      -    97     50      0      0   7600   1725 
    0    194     73      -    94     44      0      0   7600   1650 
    0    161     67      -     0      0      0      0   7600   1890 

    0    122     67      -     0      0      0      0   7600   1890 
    0     94     66      -     0      0      0      0   7600   1800 
    0    134     72      -   100     50      0      0   7600   1695 
    0    230     68      -    33     38      0      0   7600   1890 
    0    202     69      -    65     59      0      0   7600   1890 
    0    219     71      -    38     15      0      0   7600   1785 
    0    204     67      -     0      0      0      0   7600   1890 


    0    203     68      -     0      0      0      0   7600   1890 
    0    203     68      -    32     36      0      0   7600   1890 
    0    203     68      -     7      8      0      0   7600   1890 
    0    204     68      -    39     42      0      0   7600   1890 
    0    203     69      -    89     74      0      0   7600   1875 
    0    200     72      -   100     55      0      0   7600   1890 
    0    205     74      -   100     52      0      0   7600   1740 
    0    196     73      -    97     48      0      0   7600   1680 
    0    226     74      -    99     47      0      0   7600   1665 
    0    183     73      -    61     30      0      0   7600   1785 
